amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,010",Have a HEART for HACHR - Help us get a new Mobile Clinic!,U.S. Dollar,,of $15k goal,17,"In 7 years, HACHR has traveled all over Humboldt County, to provide
  outreach, support, services, and respect to unhoused individuals and
  people who use drugs. We travel hundreds of miles each week--meeting
  our participants where they are at, literally--to
    provide sterile syringe exchange services, overdose prevention
    supplies and education, hepatitis C testing and linkage to
    treatment, care coordination, compassion, and respect for our
    marginalized neighbors in Humboldt County.  In 2020 alone, HACHR has
    played a part in reversing 145 overdoses, distributed over 2,400
    naloxone kits and hundreds of hygiene and wound care kits, provided hot food and cold weather supplies to our unhoused
    neighbors, and supported over 75 individuals in enrolling in
    medication-assisted treatment--the majority of whom we met on
    outreach across the county. As COVID-19 continues to  push people who use drugs further out
    of stable housing and into the shadows, it is imperative
      that we continue to provide top-notch health and supportive care
      across Humboldt, and to
        do that, we need a mobile clinic. A mobile clinic will allow HACHR staff to travel far and wide
    across remote and urban parts of Humboldt County, including
    hard-to-reach and marginalized communities, with everything they
    need to provide instant support and services: a space for HIV/HCV
    testing and meetings with case managers, enough storage for harm
    reduction supplies like syringes and naloxone, plumbing and
    electricity to store tests and supplies and charge tablets and
    participant devices, and a reliable engine that will keep us going
    for a hundred thousand miles and then some. Every dollar raised will go directly to getting HACHR more
      mobile--purchasing a van, transforming it into a mobile clinic,
      paying for parking and storage, and getting it registered and
      insured. Gifts are fully tax deductible. If you support harm reduction in Humboldt County, please
    consider getting us on the road with a donation, and sharing this
    with your networks!  And watch this space--we'll be sharing updates
    and testimonials from our incredible HACHR community here. PS: Fundrazr includes a ""tip"" on every gift to
    support its platform that is 100% optional--if you would like to
    change or remove your tip, click on ""change tip amount"" on
    the right hand side when you are making your contribution.",https://fundrazr.com/wheels4HACHR
"17,450",Operation Walk USA,,,,,"Operation Walk USA is a non-profit medical humanitarian organization that provides free hip or knee replacement surgeries for these patients. Operation Walk USA targets patients – US citizens and permanent residents – who do not qualify for government assistance programs. Harnessing a national network of volunteer hospitals, physicians, nurses, physical therapists and others, Operation Walk USA is committed to helping those in need by restoring their mobility, self dignity, productivity, and helping them return to their social world.",https://fundrazr.com/9OsT5
"6,105",Support Urban Care's Community Healthcare,U.S. Dollar,,of $6k goal,36,"At Urban Care Clinic our vision is to make quality healthcare
    accessible to everyone. In order to achieve that goal, we have made
    our services available to surrounding communities free of charge,
    who would otherwise not be able to afford that and would have no
    equivalent alternative. We started small and in the past months we
    could extend our range of services and availability to 3 days per
    week, where we are treating patients free of charge. At the moment,
    every week we are seeing and treating up to 60 patients for free,
    which amounts to 250-300 patients per month. We are usually financing these activities from an allocated
    percentage of our monthly turnover. As we are heavily affected by
    COVID as well with a significant reduction in paying patients and
    left with a growing number of patients with little financial means,
    we are reaching out to you. We want to continue this vital service.
    It has become an important part of our communities in Nyamanzi and
    Dimani, we have chronically ill patients relying on this. Anticipating that tourism will slowly start to recover earliest
    by end of the year / beginning of 2021, we want to ensure that we
    can continue to make our healthcare services available to everyone,
    throughout this time. An average of USD20 is used per patient for exams, treatments
    and interventions. You can choose to contribute once or opt for a recurring monthly
    contribution. You have the choice between funding the treatment of 1
    patient or multiple. If you are not able to contribute financially
    at the moment, you can support us by sharing the campaign in your network! Along the time this campaign will run, we will keep updating you
    about our patients (with their consent) and how your money has been used. Please help us to keep quality healthcare accessible to everyone.",https://fundrazr.com/UC-outreach
"19,880",TOPENG SEHAT: Providing Respirator Masks for Indonesia's Medical Workers,U.S. Dollar,,of $10k goal,98,"Together we can
    make an impact, one mask at a time. Iluni UI - USA Chapter and Indonesian American Chamber of Commerce (AICC) ILUNI UI USA is a Commonwealth Virginia non-stock
    and non-profit corporation. It is recognized as tax-exempt under
    Section 501(c)(3) of the United States Internal Revenue Code. AICC is a private membership organization
    headquartered in New York. Its members include major investors who
    have contributed greatly to Indonesia’s economic development as well
    as small companies who are the lifeline in the US for Indonesia’s exports. ____________________________________________________ PS: Donations are fully deductible. Please provide your data,
    and you will automatically receive the tax receipt in your email. PPS: Since we keep all donations, Fundrazr asks for an optional tip that goes to them. The amount is
    adjustable, or you can opt-out completely. Alternatively, you can wire the fund to: ILUNI UI USA Capital One Bank 1680 Capital One Dr, McLean, VA 22102 Account number: 1360762242 Routing number: 255071981 SWIFT code: NFBKUSF1 Checks can be made payable to ILUNI USA Mailing address: Emil Ranakusuma 9358 Mildred Court Vienna, VA 22182",https://fundrazr.com/IndonesiaCOVID
160,Have a HEART for HACHR - Help HACHR get a new Mobile Clinic!,U.S. Dollar,,of $2.5k goal,5,"For the last six months, I (Andrea) have been getting to know the
  amazing, dedicated, tireless staff members, board, and participants
  that make up HACHR - the Humboldt Area Center for Harm Reduction. This
  group of badasses work every day to meet people where they're at and
  give them the tools they need to stay healthy and safe by providing
  harm reduction supplies, naloxone and overdose prevention training,
  hep C and HIV testing, healthcare navigation, referrals to
  medication-assisted treatment, and even hot food, clothes and tents
  for people who are unhoused. They drive thousands and thousands of
  miles from community to rural community in Northern California, to
  support people who are unhoused and people who are impacted by drug
  use. They do this work on a shoestring budget, but with a lot of love
  and heart. HACHR and the people they work with deserve more. I am proud
    to be a part of the campaign to help them raise money for a mobile
    clinic that will bring better services for more people across
    Humboldt County. This team is for my East Coast family --let's
  show HACHR that harm reduction goes coast to coast and help them get
  this clinic!",https://fundrazr.com/21m27f
"742,810",British Gut,,,,,"We are currently not able to supply any of our regular
    collection kits. Any general contributions made using the orange
    ""Contribute"" button will be counted only as a donation,
    not as an exchange for a kit. The Microsetta Initiative and its subsidiaries, including the
    British Gut Project, have pivoted to COVID-19 research, and have
    revised our kits to support this effort. We are working as hard as
    we can, but please be patient as these changes have required a
    complete overhaul of our infrastructure. If you are interested in
    these kits, please fill out this sign up form and we will be sending
    you updates on kit availability : https://mailchi.mp/ucsd/microsettakitinterest We are in urgent need of funding to support these research
    endeavors. We are part of the UC San Diego School of Medicine. We
    are actively working with frontline workers, sharing limited
    resources, and engaged with the broader San Diego research network
    studying all aspects of this virus and disease. Please consider
    making a donation directly: https://go.ucsd.edu/2QlTi8n More information about these recent changes can be found in the UC
  San Diego News: https://ucsdnews.ucsd.edu/feature/call-for-citizen-scientists-to-contribute-to-covid-19-studies ____________________________________________________________________________________________ This is a unique, open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, we will then sent it to the Knight Lab at the
    University of California San Diego to be processed and
  analyzed. We typically bulk ship samples back to the Knight
  Lab about every 2 months on dry ice to reduce shipping costs. Once
  your sample arrives at the Knight Lab (you'll get a notification when
  they have received your sample), processing takes 3-4
    months. We estimate that the whole process will take about
    4-6 months. Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized
  interpretation . Results are uploaded via our
  participant website, which you will get access to once you register
  your kit. It will take longer than the expected 4-6 months to receive
      results if you are submitting one of the following sample types: Oral or skin samples. A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that
    the Fundrazr transaction fee will be deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
"2,850",Please help me #keepmoving #outdoors with an #Alinker Walking Bike.,Canadian Dollar,,of $2.8k goal,39,"Hi! I’m David. Please help me #keepmoving outdoors with an #Alinker
  Walking Bike. I'm a single Dad and would love to be able to enjoy the
  outdoors again with my daughter and friends. Diagnosed with Rheumatoid Arthritis at age 2, I spent most of my
  youth in and out of a wheelchair and in and out of hospitals. After
  many years and total joint replacements in both hips and knees, I
  became more mobile and began participating in outdoor activities with
  the assistance of several local non-profit groups that assist the
  disabled in the participation of sports such as hiking, kayaking,
  sailing and more. However, in early 2018, I had to have a second knee replacement (on
  the same knee) and later that year, I fell and since then, I have not
  been able to walk without assistance.  I currently use crutches
  outside and a walker in the home.  I have not participated in any
  outdoor activities for over a year. I no longer go for walks, regular
  grocery shopping, go to malls or other public venues.  Walking with
  crutches while having Rheumatoid Arthritis causes added pain in my
  back, neck and shoulders.  This pain along with an overall fear of
  falling prevents me from going out, enjoying the great outdoors in New
  England and being socially active as I had been before the knee
  replacement and subsequent fall. I attend Physical Therapy several
  days a week and am trying to get some strength back. The #Alinker is a three-wheeled walking bike designed to help people
  stay active and live life to the fullest allowing users experience
  chronic aches and pains, chronic illnesses and recovering from an
  injury, they can all still be active! Currently, Health Insurance
  plans do not cover a very broad range of mobility devices and that’s
  why campaigns like this are so important. I'd be able to rebuild and
  maintain muscle tone in my legs, be able to walk upright instead of
  using all my energy focusing on trying not to fall and once again
  enjoy my time outdoors and with family and friends without the feeling
  like I'm slowing everyone down. It may even allow me to return to
  scuba diving as I'd be able to use the #Alinker to walk the trail down
  to the water's edge at Ft. Wetherill park in Jamestown, RI.  to It
  really would give me so much freedom back, open up my world again, and
  change my life. To learn more about my life’s journey, please visit me
  at davidstmartin.com . Thank you for your consideration and support.",https://fundrazr.com/71YCU4
"1,946,847",American Gut,,,,,"Important Update - Kit
    fulfillment notice. We are currently not able to supply any of our regular
    collection kits. Any general contributions made using the orange
      ""Donate"" button will be counted only as a donation, not
      as an exchange for a kit. The Microsetta Initiative and its
  subsidiaries, including the American Gut Project, have pivoted to
  COVID-19 research and are revising our kits to support this effort. We
  are working as hard as we can, but please be patient as these changes
  have required a complete overhaul of our infrastructure.  If you are
  interested in these kits, please fill out this sign up form and we
  will be sending you updates on kit availability : https://mailchi.mp/ucsd/microsettakitinterest In addition, we are in urgent need of funding to support these
    research endeavors. We are part of the UC San Diego School of
    Medicine. We are actively working with frontline workers, sharing
    limited resources, and engaged with the broader San Diego research
    network studying all aspects of this virus and disease. Please
    consider making a donation directly: https://go.ucsd.edu/2QlTi8n More information about these recent changes
  can be found in the UC San Diego News: https://ucsdnews.ucsd.edu/feature/call-for-citizen-scientists-to-contribute-to-covid-19-studies ____________________________________________________________________________________________ The American Gut Project is a part of the Microsetta Initiative , with the mission of
    collecting microbiome samples and rich phenotypic data from
    populations across the globe. The Human Microbiome Project and other microbiome projects
    worldwide have laid an important foundation for understanding the
    trillions of microbes that inhabit our bodies and their impact on
    health and disease. However, opportunities for the public to get
    involved in such research have been limited. Now, American Gut gives
    you an opportunity to join this research project and learn what’s
    living on and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. What will I receive for submitting a sample? Considerations before participation. It will take a few weeks to receive your
        results for stool samples and longer for those participating
        outside the U.S. (due to shipping times to send samples back to
        our lab, based at the University of California San Diego). It
        takes longer to process non-fecal samples as they are less
        common (we process similar sample types in batches to lower costs). The results you receive from submitting a sample are not for
        medical diagnoses or action. We do not provide medical
        information or recommendations based on your results. Donate to participate and claim your 'Collection Kit' perk. If You Live in the U.S. Taking part is simple! Based on your level of contribution, you
    will be able to select a collection kit from the list of options on
    the right-hand side by clicking ""Claim this perk"" (if you
    would like to receive bulk order, please email us 
    microsetta@ucsd.edu). Your kit will be shipped via FedEx within a
    few business days after payment. If You Live Anywhere Else: International participants are also welcome to join. Additional
    shipping fees may be required, along with other regulations. Please
    email us at  microsetta@ucsd.edu   before contributing so we can
    check on shipping regulations. Ideally, samples should be shipped back to our lab within 48 hours of being collected. Our kits are
    designed to protect and preserve your sample at room temperature
    during extended transit times. If you have any questions or concerns, please
    visit our FAQ or email us at microsetta@ucsd.edu .",https://fundrazr.com/americangut
"2,002",Help Us Make Ireland's Dream a Reality!,U.S. Dollar,,of $500k goal,29,"Hello, we are Megan and Mark. Over three years ago Megan gave birth
  to our beautiful baby girl, Ireland. However, during birth, an
  umbilical cord prolapse resulted in Ireland having cererbal palsy. She
  spent the first 7 weeks of life in the hospital, and we waitied
  anxiously to take her home to her older brothers. This was our first real world experience with cerebral palsy. Many
  people we talk to today don't even know what cerebral palsy is.
  Cerebral palsy is a variable type of brain injury that affects people
  in many different ways. Some children are only slightly affected,
  while others are permamently disabled, wheelchair-bound, and need
  constant attendant care. Cerebral palsy makes a huge impact on the family dynamic. Not only
  are many cerebral palsy families financially dessimated by this
  disease, but they are also stressed emotionally and physically. There are no treatments out there that are covered by insurance to
  treat or reverse cererbal palsy. However, there are many, many
  therapies available worldwide that improve cerebral palsy, and can
  have significant impacts on quality of life. Unfortunately, most of
  these therapies are difficult to obtain due to lack of insurance
  coverage and travel costs. We were lucky enough to discover and utilize many of these therapies
  for Ireland, and have seen dramatic improvements in her since using
  these therapies. We truly believe that no child with cerebral palsy
  should have his or her treatment options limited by his or her
  parent's financial status. Out of this belief, Ireland's Dream was born. Ireland's Dream is to establish a medical center that is fully
  dedicated to the treatment of people with cerebral palsy and their
  families. This Center will have the latest in treatment technologies
  that people all over the world are using for cerebral palsy, available
  under one roof. These therapies include hyperbaric oxygen, ozone
  therapy, Cuevas Medek therapy, scoliosis treatment, and vibration
  therapy. Other necessary therapies will include family counseling,
  diet/nutritional interventions, feeding therapy, assistive device
  training, and more. Our goal is to make cerebral palsy synonymous with Ireland's Dream.
  Please help us make Ireland's Dream come true for patients all over
  the country who are suffering from the debilitating disease. We thank you greatly for any support you can provide.",https://fundrazr.com/f13EF1
"2,625",Rescue Detroit Restaurants - Feed Healthcare Workers at Ascension,U.S. Dollar,,of $50k goal,31,"The Detroit Free Press and the Metro Detroit Chevy Dealers have
  raised nearly $100,000 to feed 5,000 Healthcare Heroes over the next
  four weeks. They are providing nutritious, locally sourced meals for
  healthcare workers, while helping to sustain beloved metro Detroit
  restaurants that are struggling through this shutdown.  These efforts
  will provide 1,250 meals to Ascension Providence Hospitals for the
  week of April 27th. Dr. Justin Thomas (a neurosurgery resident in his training at
  Ascension Providence, part of the Michigan State University College of
  Human Medicine) and his father, Jon, are looking to assist this
  amazing effort! They are looking to raise another $50,000 to
    provide an additional 2,500 signature entrée meals for the
    Healthcare Heroes at Ascension St. John in Detroit along with
    Ascension Macomb and Ascension Oakland Hospitals during the week of
    May 11th. The community wants to show our appreciation to as many
    healthcare workers as possible. Meals will be provided by chefs from the 10 previous winners of the
  Detroit Free Press/Metro Chevy Dealers Top 10 Best New
  Restaurants: Folk, Grey Ghost, Ima, Leila, Marrow, Mink, Pernoi,
  Saffron De Twah, SheWolf and Yum Village.  Donations will cover food
  costs, restaurant labor, individual containers and delivery. Funds raised beyond our goal will be used to provide additional meals
  to our Healthcare Heroes. We want to thank the Detroit Free Press, the Metro Detroit Chevy
  Dealers and several local distributors who are also donating food and
  containers to help this incredible cause: Motor City Seafood, Quality
  Meats & Culinary Specialties, Guernsey Farms Dairy, Carmela Foods
  Inc., Highland Supply, Cannelle by Matt Knio and Green Safe Products. Donations will be collected until April 30th. Join us in thanking our
  Healthcare Heroes on the front line and supporting local Detroit
  restaurants who are working to keep their doors open.",https://fundrazr.com/ViewHealthcareHeroes
